user,location,text,sentiment,probability
zaid527,colombia,Todos unamos y vamos a darle de baja a la página de la presidencia de nuevo desde tor en https://t.co/J8HOZNUGhy  #Anonymous,Positivo,73
Tatiana92069946,,Cómo es pa que #Anonymous Le haga la vuelta a noticias RCN Y Caracol:3.,Positivo,62
SoCloudD,,"#Anonymous
Ya no es un saquenme de latinoameríca
Ahora es un Debemos cambiar Latinoamérica, debemos hacer justicia… https://t.co/hUbG2yJoK8",Positivo,62
HeiderLorduy,"Cartagena, Colombia","Cuando leo “We are anonymous, we are legion” mi corazón se acelera impresionantemente, #Anonymous nos está dando una mano impresionante.",Positivo,66
1tintico,,"#Anonymous tumban la página de la presidencia en Colombia 🇨🇴🇨🇴🇨🇴❤️ infinitas gracias.
#AmoAnonymous… https://t.co/qda5iFa8OB",Positivo,84
Laurafe22636073,,#FuerzaCOLOMBIA #ApoyoAlEsmad #Colombia #AnonymousColombia #Anonymous no todos son malos hay algunos buenos 😭😭😭😭😍 https://t.co/mRnljlpd9U,Positivo,77
LadyGiraldo10,,@SpringIna_ Totalmente de acuerdo con id eso suena #Anonymous,Positivo,60
Xiaoming_BTS,Colombia,Colombia 🇨🇴🚨🚨🇨🇴 #Anonymous #MilitarizarLasCallesYa #UribeTieneLaRazon #ApoyoAMiFuerzaPublica #yoapoyoelesmad… https://t.co/DO7r4ROvkm,Positivo,65
Johansanchezb27,Bogotá,"#Anonymous Somos legión

#ParoNacional4M 
#SOSColombiaDDHH",Positivo,60
jose67113523,,#Anonymous Porfavor hackear Caracol y RCN y coloca los abusos policiales https://t.co/LBMLIXS8J1,Positivo,58
D0200020,,si esto pasara seria increíble encerio increíble #Anonymous  https://t.co/xuOwaKwxZI,Positivo,61
Vermisdeescarc1,,"Nos envian por DM! Comparte!

DataLeak https://t.co/K8Pp4qKbwB

https://t.co/4cjuwfWtot

#Anonymous #OpColombia… https://t.co/ggxYb3916D",Positivo,66
zaid527,colombia,Todos ingresen desde tor vamos a darle de baja  https://t.co/J8HOZNUGhy #Anonymous,Positivo,63
S19021,,Annonymous haz el jaque mate derribando el ICETEX #Anonymous,Positivo,62
delmontonsoy,,"#Anonymous SI SON TAN BERRACOS BORREN LAS CALIFICACIONES MALAS DE DACRÉDITO, LOS QUIERO VER",Positivo,61
Kenny_KnV,"Barranquilla, Colombia",#Anonymous tumba página del senado de Colombia @SenadoGovCo 🌩 https://t.co/CM634M5MJC,Positivo,69
LeydiRomanCard1,,#Anonymous #ColombiaSOS Todos los Colombianos agradecidos !,Positivo,60
greninja_f,,"@IvanDuque responda 

#Anonymous https://t.co/rO1t3SSeJx",Positivo,64
AnonLeaks,,"Senado Nacional de Colombia hackeado, correos electrónicos, nombres y contraseñas del Senado de Colombia filtrados… https://t.co/pL2FjkySkq",Positivo,71
TinOrtiz5,,"@AnonymousOpCOL Narcogobernantes, subieron como palma, caerán como cocos 🇨🇴💔
 #anonymous we are legion...",Positivo,62
jbyrongarcia,Medellín - Colombia,"Asistimos a otro momento de la historia, gracias  a Internet y a las redes sociales. No es gracias a la prensa trad… https://t.co/uWhnJUlVHh",Positivo,92
Cristia31586398,Colombia,"Presidencia de la republica 
Ejercito nacional de colombia 
Senado de la republica 
Eres grande ANONYMOUS 😎 #Anonymous",Positivo,66
prettyinanna,,"es muy lindo, pero a la vez muy triste q artistas extranjeros como kendall, justin y demi estén mas interesados en… https://t.co/WEwN2lZ2KH",Positivo,58
greninja_f,,"#Anonymous 

La @ONUHumanRights está en stem en YouTube todos #SOSColombiaDDHH esto no puede seguir asi https://t.co/GUplZKcTOE",Positivo,60
DiyeiJowell,"bogota, colombia","Que dolor ver a las familias de las personas asesinadas por los policías, y ver que al estado le importa una mierda… https://t.co/6kG11PK41R",Positivo,52
